dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.833,0.905,0.761
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.828,0.904,0.752
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.833,0.906,0.761
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.831,0.904,0.758
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.831,0.905,0.757
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.829,0.905,0.752
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.824,0.901,0.746
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=10),10.0,triplet,50000,0.815,0.886,0.744
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=7.5),7.5,triplet,50000,0.816,0.887,0.745
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=5),5.0,triplet,50000,0.816,0.887,0.745
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=1),1.0,triplet,50000,0.833,0.9,0.766
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=0.1),0.1,triplet,50000,0.841,0.907,0.774
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=0.01),0.01,triplet,50000,0.826,0.887,0.766
